name,node_idx,x,y,feature_importance,label
79,253,10.0,0.0,"[0.007173656563267298, 0.02183514757076967, 0.01838627907658259, 0.01840019427954253, 0.02768178849803103, 0.3263842058572095, 0.3191125147458167, 0.01923235804171272, 0.0016103503081061185, 0.0005724093017867916, 0.0006335305794507967, 0.017903680980393365, 0.0251455582290291, 0.008069686709231154, 0.030528156789442824, 0.1573304824696278]",2
80,340,-12.0,12.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3
81,162,2.0,10.0,"[8.369271556968841e-05, 0.0015039151303193172, 0.019520335686943554, 8.192362079714489e-05, 0.0004504807904121366, 0.14426836826784917, 0.25729169415209296, 0.04807982555971824, 0.04955935156058287, 0.25146682609363263, 0.1264020188931556, 0.023642358325194814, 0.0034744025408047223, 0.0495159114249205, 0.00010292344958924618, 0.02455597178841741]",7
82,323,7.0,15.0,"[0.0002904516500722889, 1.4959994124790961e-05, 0.0010058323484040685, 0.001109065760398319, 1.5391873330268318e-05, 0.0, 0.0, 0.0, 0.0, 0.0007502655342554785, 0.0015884839217753346, 0.0, 5.9713598239300496e-06, 4.8657621799733276e-05, 0.9951709199360158, 0.0]",4
83,75,5.0,0.0,"[0.006943146519378738, 0.02532921709507644, 0.005090025413332251, 0.005247716728794512, 0.06081066961634402, 0.04117403719775921, 0.0740164273483764, 0.012646063144684644, 0.007615572350991579, 0.0030012844269780314, 0.0036488499523611414, 0.0021567425582067275, 0.05521464698331952, 0.013278171679521531, 0.5748016973309258, 0.10902573165394928]",2
84,183,-2.0,6.0,"[0.04002381827415745, 0.0010824012888094978, 0.04131435893453289, 0.04095689475035463, 0.3518650090119365, 0.049213787212489896, 0.074514338411535, 0.017094833931504502, 0.01460661713313729, 0.004631725473893665, 0.007968841475341014, 0.022724029322614667, 0.04746062416307818, 0.10485186782357393, 0.022176255916191757, 0.1595145968768491]",1
85,108,0.0,-2.0,"[0.0867775447452257, 0.006506714808638306, 0.023138143400727344, 0.022913497389204396, 0.08226706961369874, 0.1374157093527301, 0.11140349730976401, 0.06553169723618499, 0.08794967038985022, 0.1845657762588878, 0.04897320888568984, 4.0847481770254425e-05, 0.024817674345050597, 0.06296850988879943, 0.018575745585401586, 0.03615469330837662]",7
86,330,3.0,20.0,"[1.709019488575951e-05, 0.0002729504078980041, 0.040409435150877825, 1.6743209132372697e-05, 8.05071515957821e-05, 0.01804197437471423, 0.007449798862187243, 0.017821849677633245, 0.01756172336695986, 0.01387193265364088, 0.7374502790127143, 0.06446063405297583, 0.0006194200118720217, 0.01756964779339188, 1.899570493427882e-05, 0.06433701837458661]",4
87,211,9.0,2.0,"[0.003096010741546982, 0.00942813027411824, 0.007897824197341308, 0.007903957572296446, 0.012038776525252605, 0.14013639112180346, 0.31320674825577033, 0.008273384646434224, 0.0007146995849953689, 0.0002540708494167213, 0.0002812128958272552, 0.0076837347264875665, 0.010635975293168082, 0.0034936347495203154, 0.01354871392938381, 0.46140673463663745]",2
88,261,0.0,-7.0,"[0.1019993125273898, 0.001239252550658123, 0.030807680293121836, 0.00304600731120632, 0.2172389045655356, 0.09695192910449575, 0.18670038103194653, 0.006626660147351345, 0.009371759431112658, 0.09278862388317922, 0.07995695620469837, 8.391785652924631e-06, 0.0805736310390122, 0.03495352359540457, 0.025193712371700924, 0.03254327415753382]",6
89,9,-1.0,2.0,"[0.04794067277579109, 0.0074018461950486935, 0.02955803234606433, 0.0394560289201205, 0.016831289467411484, 0.07604713944459407, 0.34364578616169206, 0.057363897238767086, 0.02777272279369079, 0.014640805284410224, 0.0958656728506208, 4.67588217912311e-05, 0.0259876200271214, 0.16690763054996793, 0.005528919660040425, 0.04500517746286784]",5
90,1,1.0,0.0,"[0.03677796058790966, 0.01626035614115022, 0.017796848399936123, 0.020860415821491216, 0.0329720513091356, 0.13467507967901554, 0.1399234493876071, 0.12538573038643674, 0.05444120265585322, 0.03007814680154176, 0.034075040962692836, 8.368379334774337e-05, 0.0446686217844148, 0.1275406746494887, 0.007859573798138496, 0.17660116384184016]",3
91,6,-1.0,1.0,"[0.05980156855445629, 0.00854778062854852, 0.03373607010923545, 0.04393846020246108, 0.026718582634454816, 0.21595861187843318, 0.08852194545374936, 0.08622488908516396, 0.053228998234729485, 0.028889792337369682, 0.052629934152566615, 5.4474073480566345e-05, 0.059540760471739736, 0.18353752984747135, 0.00790144050412846, 0.050769161832011286]",3
92,325,2.0,17.0,"[2.9224276799634147e-05, 0.000489498427017331, 0.11739030611331847, 2.8621717037391704e-05, 0.00014516960100579497, 0.03894586988772019, 0.021198376603164266, 0.04881965485516984, 0.04834735452194938, 0.029033324793715294, 0.2988693172371649, 0.17372227397216522, 0.0011180400750134987, 0.0483615032300355, 3.380389761366879e-05, 0.17346766079110956]",4
93,184,-3.0,7.0,"[0.006464683135492198, 0.0001862110990087728, 0.006674289216069109, 0.006617800084680973, 0.44837920364291745, 0.03818716445179209, 0.07090811443401351, 0.0027404383086219205, 0.0023273768736659156, 0.000748383081871268, 0.001289526287032934, 0.03392349892286056, 0.0070990389752801555, 0.11410453055464338, 0.03224697432287498, 0.22810276660917478]",1
94,163,-10.0,1.0,"[0.001435521634993153, 7.030927898431744e-05, 0.001882194653138977, 0.001542064776624236, 0.00020020870937883123, 0.0024129703903090793, 0.04677654706917053, 0.0007912313659838434, 0.000325592131869326, 0.00015062502810517307, 0.0003105797144599339, 5.063829155481384e-07, 0.00038577120737863816, 0.09179087920341591, 0.3471638299913991, 0.5047611684618735]",1
95,169,5.0,4.0,"[0.004220211304255088, 0.01858486300311711, 0.004044088944968709, 0.0041766827839408195, 0.3047262409690828, 0.11809298270651494, 0.262640311528395, 0.010936896431454778, 0.004521165507193701, 0.002979418266683946, 0.002408604230037351, 0.0031116450762617653, 0.028631214559840124, 0.009142868576727671, 0.036345054968183986, 0.18543775114334216]",2
96,216,-6.0,7.0,"[0.0003530236697401792, 2.2044878464839287e-05, 0.0003657110548549773, 0.00036390877470922285, 0.12813534336815616, 0.0837363301650141, 0.16261817967588035, 0.0001279877567711582, 9.37584401918867e-05, 4.1134663591562826e-05, 7.289253989105392e-05, 0.08351903133071158, 0.00022804362666910838, 0.27036397988830985, 0.0788883925209931, 0.19107023764605077]",1
97,208,0.0,-5.0,"[0.17456371562950748, 0.0014763680265178745, 0.020402582627822578, 0.004233723887856882, 0.1378924561051569, 0.07273694275354889, 0.11258402342530405, 0.010028843767895765, 0.01376834360892107, 0.06611105899579348, 0.26703081660424993, 9.916528617418072e-06, 0.01662563111218003, 0.026481117737638317, 0.05343864015681491, 0.02261581903217435]",6
98,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
99,162,2.0,10.0,"[8.369271556968841e-05, 0.0015039151303193172, 0.019520335686943554, 8.192362079714489e-05, 0.0004504807904121366, 0.14426836826784917, 0.25729169415209296, 0.04807982555971824, 0.04955935156058287, 0.25146682609363263, 0.1264020188931556, 0.023642358325194814, 0.0034744025408047223, 0.0495159114249205, 0.00010292344958924618, 0.02455597178841741]",7
100,75,5.0,0.0,"[0.006943146519378738, 0.02532921709507644, 0.005090025413332251, 0.005247716728794512, 0.06081066961634402, 0.04117403719775921, 0.0740164273483764, 0.012646063144684644, 0.007615572350991579, 0.0030012844269780314, 0.0036488499523611414, 0.0021567425582067275, 0.05521464698331952, 0.013278171679521531, 0.5748016973309258, 0.10902573165394928]",2
